Headline,Statements,Verification,Source,Label,Cross reference
Burger King ordered to regularize workers,At least 44 store-branches in Metro Manila of one of the leading hamburger chains in the country have been found violating the Department of Labor and Employment's (DoLE) guidelines on work contracting and were meted out corresponding compensatory penalties.,TRUE,Manila Times,Credible,https://manilastandard.net/?p=262375; https://www.gmanetwork.com/news/money/companies/648835/dole-orders-jollibee-to-regularize-7-000-workers/story/
Burger King ordered to regularize workers,"The findings prompted the DoLE-National Capital Region (Metro Manila) office to immediately issue a compliance order, directing Burger King and its five contractors to regularize the affected 704 workers, who have been performing activities that are directly related to the main business and operation of the food chain.",TRUE,Manila Times,Credible,https://www.pna.gov.ph/articles/1030383
Burger King ordered to regularize workers,Burger King was the second hamburger chain found engaged in labor-only contracting activities.,TRUE,Manila Times,Credible,https://www.gmanetwork.com/news/money/companies/679594/dole-finds-jollibee-s-employment-regularization-efforts-too-slow/story/; 
Burger King ordered to regularize workers,"Earlier, Jollibee Foods Corporation (JFC) and its contractors in nine branches in Miraropa were similarly penalized for the same violations, prompting the DoLE-Region 4B office to issue a compliance order directing the food company and its three contractors to regularize a total of 468 employees.",TRUE,Manila Times,Credible,https://www.gmanetwork.com/news/money/companies/654767/look-dole-s-list-of-top-20-companies-engaged-in-labor-only-contracting/story/
POPE FRANCIS REFUSES TO MEET WITH DONALD TRUMP DURING U.S. VISIT,"Pope Francis has rejected a request by Republican presidential candidate Donald Trump for a private audience when the leader of the Roman Catholic Church visits the United States September 22-27, 2015.",FALSE,Adobo Chronicles,Not Credible,"There is no reliable source or evidence that confirms Donald Trump requested a private audience with Pope Francis during his visit to the United States in September 2015, or that Pope Francis rejected such a request."
POPE FRANCIS REFUSES TO MEET WITH DONALD TRUMP DURING U.S. VISIT,"During his papal visit, Francis will meet with President and Mrs. Barack Obama, address a joint session of the U.S. Congress, speak before the United Nations General Assembly and attend a huge religious gathering in Philadelphia.",TRUE,Adobo Chronicles,Not Credible,https://obamawhitehouse.archives.gov/campaign/pope-visit; https://www.politico.com/story/2015/09/pope-visit-to-us-dc-nyc-philadelphia-schedule-september-2015-213886
POPE FRANCIS REFUSES TO MEET WITH DONALD TRUMP DURING U.S. VISIT,"Trump has sent a letter to The Vatican requesting a short private audience with the Pope. The controversial candidate offered to fly the Pontiff to Las Vegas on his private jet for a meet and greet at the Trump Towers. He wanted to seek the Pope's advice on how to better reach out to America's Catholic voters, a Trump spokesperson said.",FALSE,Adobo Chronicles,Not Credible,"Pope Francis did meet with President Barack Obama and the First Lady, addressed a joint session of the U.S. Congress, spoke before the United Nations General Assembly, and attended the World Meeting of Families in Philadelphia during his visit to the United States in September 2015. These events are well-documented and can be verified from reliable news sources and official Vatican records."
POPE FRANCIS REFUSES TO MEET WITH DONALD TRUMP DURING U.S. VISIT,"In rejecting the request, Pope Francis said, By the grace of God, I cannot agree to meet with someone who has denigraded migrants and hard-working people like the Mexicans. And Trump has the nerve to meet with me after his disparaging remarks about Latinos! Has he forgotten that I, too, am Latino?",FALSE,Adobo Chronicles,Not Credible,The scenario described appears to be fictional or speculative rather than based on a real event.
PH holds USD26.3-T untapped oil deposits,"The Philippines has untapped hydrocarbon deposits estimated at USD 26.3 trillion, mostly found in the disputed Spratly chain of islands.",FALSE,Duterte Daily Stories,Not Credible,"The claim that the Philippines has untapped hydrocarbon deposits worth USD 26.3 trillion is highly speculative and not supported by concrete evidence. Estimates of hydrocarbon resources in the South China Sea, including the Spratlys, vary widely and are often inflated. The U.S. Energy Information Administration (EIA) provides more conservative and data-backed estimates of resources in the region."
PH holds USD26.3-T untapped oil deposits,The Philippines would become an oil exporter if these deposits are tapped.,FALSE,Duterte Daily Stories,Not Credible,"The statement is speculative since becoming an oil exporter would depend on the volume of recoverable reserves, the cost of extraction, and global oil prices. The process of developing these resources would also take years and require significant investment."
